anchor_date,source_name,source_type,source_url,local_file,document_date,constituent_count,unique_symbol_count,unique_isin_count,complete_constituent_list,official_source,retrieval_status,evidence_quality,notes
2026-08-10,Official NSE India Nifty 500 Current Constituent Snapshot,CSV,https://www.niftyindices.com,data/universe/nifty500_constituents.csv,2026-08-10,500,500,500,True,True,FOUND,EXACT_OFFICIAL,Current active anchor list of 500 stocks
2026-03-31,Official NSE Nifty 500 Constituent Snapshot (2026-MAR),CSV,https://www.niftyindices.com,NOT_FOUND_LOCALLY,2026-03-31,N/A,N/A,N/A,False,True,NOT_FOUND,NOT_FOUND,Historical complete constituent list file for 2026-MAR is missing from local repository
2025-09-30,Official NSE Nifty 500 Constituent Snapshot (2025-SEP),CSV,https://www.niftyindices.com,NOT_FOUND_LOCALLY,2025-09-30,N/A,N/A,N/A,False,True,NOT_FOUND,NOT_FOUND,Historical complete constituent list file for 2025-SEP is missing from local repository
2025-03-31,Official NSE Nifty 500 Constituent Snapshot (2025-MAR),CSV,https://www.niftyindices.com,NOT_FOUND_LOCALLY,2025-03-31,N/A,N/A,N/A,False,True,NOT_FOUND,NOT_FOUND,Historical complete constituent list file for 2025-MAR is missing from local repository
2024-09-30,Official NSE Nifty 500 Constituent Snapshot (2024-SEP),CSV,https://www.niftyindices.com,NOT_FOUND_LOCALLY,2024-09-30,N/A,N/A,N/A,False,True,NOT_FOUND,NOT_FOUND,Historical complete constituent list file for 2024-SEP is missing from local repository
2024-03-31,Official NSE Nifty 500 Constituent Snapshot (2024-MAR),CSV,https://www.niftyindices.com,NOT_FOUND_LOCALLY,2024-03-31,N/A,N/A,N/A,False,True,NOT_FOUND,NOT_FOUND,Historical complete constituent list file for 2024-MAR is missing from local repository
2023-03-31,Official NSE Nifty 500 Constituent Snapshot (2023-MAR),CSV,https://www.niftyindices.com,NOT_FOUND_LOCALLY,2023-03-31,N/A,N/A,N/A,False,True,NOT_FOUND,NOT_FOUND,Historical complete constituent list file for 2023-MAR is missing from local repository
2022-03-31,Official NSE Nifty 500 Constituent Snapshot (2022-MAR),CSV,https://www.niftyindices.com,NOT_FOUND_LOCALLY,2022-03-31,N/A,N/A,N/A,False,True,NOT_FOUND,NOT_FOUND,Historical complete constituent list file for 2022-MAR is missing from local repository
2021-03-31,Official NSE Nifty 500 Constituent Snapshot (2021-MAR),CSV,https://www.niftyindices.com,NOT_FOUND_LOCALLY,2021-03-31,N/A,N/A,N/A,False,True,NOT_FOUND,NOT_FOUND,Historical complete constituent list file for 2021-MAR is missing from local repository
2020-03-31,Official NSE Nifty 500 Constituent Snapshot (2020-MAR),CSV,https://www.niftyindices.com,NOT_FOUND_LOCALLY,2020-03-31,N/A,N/A,N/A,False,True,NOT_FOUND,NOT_FOUND,Historical complete constituent list file for 2020-MAR is missing from local repository
2018-03-31,Official NSE Nifty 500 Constituent Snapshot (2018-MAR),CSV,https://www.niftyindices.com,NOT_FOUND_LOCALLY,2018-03-31,N/A,N/A,N/A,False,True,NOT_FOUND,NOT_FOUND,Historical complete constituent list file for 2018-MAR is missing from local repository
